브랜드,모델명,이름,연식,주행거리(km),가격(만원),URL
현대,그랜저,현대 그랜저 HG  LPG HG300 장애인용,2015,"128,800","1,340",http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=38259736&view_type=normal&adv_attribute=&wtClick_korList=019&advClickPosition=kor_normal_p101_g18&tempht_arg=1ki37Uprge52_17
현대,그랜저,현대 그랜저 HG  LPG HG300 장애인용,2015,"130,300",990,http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=37306964&view_type=checked&adv_attribute=&wtClick_korList=019&advClickPosition=kor_normal_p1281_g6&tempht_arg=lGq13tv7v5o2_5
현대,그랜저,현대 그랜저 HG  HG220 디젤 프리미엄,2015,"138,700",999,http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=38196624&view_type=checked&adv_attribute=&wtClick_korList=019&advClickPosition=kor_normal_p1341_g20&tempht_arg=oJ1s3fQ85hi7_19
현대,그랜저,현대 그랜저 HG  HG300 익스클루시브 스페셜,2015,"151,300","1,120",http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=38259736&view_type=normal&adv_attribute=&wtClick_korList=019&advClickPosition=kor_normal_p101_g12&tempht_arg=1ki37Uprge52_11
현대,그랜저,현대 그랜저 HG  HG220 디젤 프리미엄,2015,"208,700",749,http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=37719072&view_type=normal&adv_attribute=&wtClick_korList=019&advClickPosition=kor_normal_p241_g17&tempht_arg=VHS1372mSaz9_16
현대,그랜저,현대 그랜저 HG  HG300 프리미엄 컬렉션,2016,"89,800","1,250",http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=37633817&view_type=checked&adv_attribute=&wtClick_korList=019&advClickPosition=kor_normal_p1051_g18&tempht_arg=fwR1e377lZF3_17
현대,그랜저,현대 그랜저 HG  HG240 모던 컬렉션,2016,"134,200",799,http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=38330187&view_type=checked&adv_attribute=&wtClick_korList=019&advClickPosition=kor_normal_p1321_g19&tempht_arg=1JvR3m6gBM77_18
현대,그랜저,현대 그랜저 HG  LPG HG300 모던,2016,"179,800",750,http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=37914776&view_type=checked&adv_attribute=&wtClick_korList=019&advClickPosition=kor_normal_p451_g15&tempht_arg=pr13G6Jm1gR7_14
현대,그랜저,현대 그랜저 HG  LPG HG300 모던,2016,"230,200",620,http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=38107273&view_type=checked&adv_attribute=&wtClick_korList=019&advClickPosition=kor_normal_p241_g21&tempht_arg=VHS1372mSaz9_20
현대,그랜저,현대 그랜저 IG  2.4 프리미엄 스페셜,2017,"39,200","2,180",http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=38373530&view_type=checked&adv_attribute=&wtClick_korList=019&advClickPosition=kor_normal_p341_g11&tempht_arg=1o36DN1Lbfg7_10
현대,그랜저,현대 그랜저 IG  3.0 익스클루시브 스페셜,2017,"42,300","2,499",http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=38387480&view_type=hs_ad&adv_attribute=hs_ad&wtClick_korList=019&advClickPosition=kor_normal_p801_g3&tempht_arg=DLmI138g5JS7_2
현대,그랜저,현대 그랜저 IG  2.4 프리미엄 스페셜,2017,"43,900","1,880",http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=37844766&view_type=hs_ad&adv_attribute=hs_ad&wtClick_korList=019&advClickPosition=kor_normal_p171_g21&tempht_arg=1kBvTh382ub4_20
현대,그랜저,현대 그랜저 IG  3.0 익스클루시브,2017,"50,000","1,980",http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=38289497&view_type=checked&adv_attribute=&wtClick_korList=019&advClickPosition=kor_normal_p211_g2&tempht_arg=e1l36O7TqaK7_1
현대,그랜저,현대 그랜저 IG  3.0 익스클루시브,2017,"51,900","2,350",http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=38106218&view_type=checked&adv_attribute=&wtClick_korList=019&advClickPosition=kor_normal_p521_g11&tempht_arg=n1J3o8Owfe24_10
현대,그랜저,현대 그랜저 IG  2.4 모던,2017,"63,100","1,690",http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=38374034&view_type=normal&adv_attribute=&wtClick_korList=019&advClickPosition=kor_normal_p901_g18&tempht_arg=P1rkFD3y85n7_17
현대,그랜저,현대 그랜저 IG  3.0 익스클루시브 스페셜,2017,"70,500","1,790",http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=38210899&view_type=hs_ad&adv_attribute=hs_ad&wtClick_korList=019&advClickPosition=kor_normal_p1111_g20&tempht_arg=1e367nPSiIh7_19
현대,그랜저,현대 그랜저 IG 하이브리드  익스클루시브,2017,"74,900","2,290",http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=38170562&view_type=hs_ad&adv_attribute=hs_ad&wtClick_korList=019&advClickPosition=kor_normal_p441_g7&tempht_arg=1lS37yP9pcx2_6
현대,그랜저,현대 그랜저 IG  3.0 익스클루시브,2017,"82,000","1,770",http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=37644508&view_type=normal&adv_attribute=&wtClick_korList=019&advClickPosition=kor_normal_p591_g8&tempht_arg=jL13s7Tulb29_7
현대,그랜저,현대 그랜저 IG  3.0 익스클루시브,2017,"83,400","1,610",http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=37907581&view_type=checked&adv_attribute=&wtClick_korList=019&advClickPosition=kor_normal_p681_g17&tempht_arg=1VcVH35mQu49_16
현대,그랜저,현대 그랜저 IG  3.0 익스클루시브 스페셜,2017,"106,400","1,890",http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=38420868&view_type=checked&adv_attribute=&wtClick_korList=019&advClickPosition=kor_normal_p181_g1&tempht_arg=1bsRBmL3r549_0
현대,그랜저,현대 그랜저 IG  3.0 익스클루시브,2017,"110,300","1,680",http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=37514939&view_type=checked&adv_attribute=&wtClick_korList=019&advClickPosition=kor_normal_p571_g18&tempht_arg=13L8Sd6VckW9_17
현대,그랜저,현대 그랜저 IG  3.0 익스클루시브 스페셜,2017,"112,300","1,690",http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=36824239&view_type=normal&adv_attribute=&wtClick_korList=019&advClickPosition=kor_normal_p961_g13&tempht_arg=1R3PaB75tFz2_12
현대,그랜저,현대 그랜저 IG  2.2 디젤 모던,2017,"115,500","1,340",http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=38269042&view_type=checked&adv_attribute=&wtClick_korList=019&advClickPosition=kor_normal_p251_g15&tempht_arg=1Dr38qubt0g9_14
현대,그랜저,현대 그랜저 IG  2.4 프리미엄,2017,"123,600","9,999",http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=38313525&view_type=hs_ad&adv_attribute=hs_ad&wtClick_korList=019&advClickPosition=kor_normal_p1211_g13&tempht_arg=e1t3oD8M4io8_12
현대,그랜저,현대 그랜저 IG  2.4 프리미엄,2017,"125,600","1,620",http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=38353481&view_type=normal&adv_attribute=&wtClick_korList=019&advClickPosition=kor_normal_p281_g8&tempht_arg=HCLx13B8sS57_7
현대,그랜저,현대 그랜저 IG  2.4 프리미엄,2017,"137,000","1,750",http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=37990876&view_type=normal&adv_attribute=&wtClick_korList=019&advClickPosition=kor_normal_p471_g2&tempht_arg=1UxUt3j8H2A4_1
현대,그랜저,현대 그랜저 IG 하이브리드  익스클루시브 스페셜,2017,"146,900","1,840",http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=37844766&view_type=hs_ad&adv_attribute=hs_ad&wtClick_korList=019&advClickPosition=kor_normal_p171_g8&tempht_arg=1kBvTh382ub4_7
